CODIGO;NOMBRE;CAT. 2018-2;CAT. 2019-1;DEPARTAMENTO;PROVINCIA;DISTRITO;NUEVA REFERENCIA;REFERENCIA;DIRECIÓN;TS;MS;BI
2672;JESUS DE BELEN;4;T;HUANCAVELICA;TAYACAJA;PAMPAS;HUANCAVELICA/TAYACAJA/PAMPAS;HUANCAVELICA / TAYACAJA / PAMPAS;JR. LIMA 217;;;
2673;SANTA ISABEL;4;T;LIMA;LIMA;PUEBLO LIBRE;LIMA/LIMA/PUEBLO LIBRE;LIMA / LIMA / PUEBLO LIBRE;AV. CIPRIANO DULANTO (EX- LA MAR) 1171;;;
2674;INGENIEROS DE CHOSICA;4;T;LIMA;LIMA;LURIGANCHO;LIMA/LIMA/LURIGANCHO;LIMA / LIMA / LURIGANCHO;AV. LIMA SUR 949;;;
2675;CRISTIANO PERUANO AMERICANO;4;T;UCAYALI;CORONEL PORTILLO;CALLERIA;UCAYALI/CORONEL PORTILLO/CALLERIA;UCAYALI / CORONEL PORTILLO / CALLERIA;JR. MASISEA MZ L LOTE 7;;;
2676;MARTIR DE LA MEDICINA DANIEL A. CARRION;4;T;LIMA;LIMA;ATE;LIMA/LIMA/ATE;LIMA / LIMA / ATE;CALLE LAS PRADERAS DE PARIACHI S/N MZ F LOTE 7-8;;;
2677;JUAN PABLO II;4;T;LIMA;LIMA;SAN JUAN DE LURIGANCHO;LIMA/LIMA/SAN JUAN DE LURIGANCHO;LIMA / LIMA / SAN JUAN DE LURIGANCHO;AV. LOS JARDINES ESTE 426;;;
2678;SEÑOR DE LUREN;4;T;ICA;ICA;ICA;ICA/ICA/ICA;ICA / ICA / ICA;CALLE BOLIVAR 1163;;;
2679;MARIA DE FATIMA;4;T;PIURA;TALARA;PARIÑAS;PIURA/TALARA/PARIÑAS;PIURA / TALARA / PARIÑAS;AVENIDA YALE 239-273;;;
2680;BLAISE PASCAL;4;T;LIMA;LIMA;CIENEGUILLA;LIMA/LIMA/CIENEGUILLA;LIMA / LIMA / CIENEGUILLA;CALLE LOS FICUS DE CIENEGUILLA MZ C LOTE 5;;;
2681;INGENIERIA DE CARMELITAS;4;T;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;LIMA/LIMA/VILLA MARIA DEL TRIUNFO;LIMA / LIMA / VILLA MARIA DEL TRIUNFO;AVENIDA VILLA MARIA 1148 - 1150;;;
2682;HUGO VELASQUEZ MACASSI;4;T;JUNIN;TARMA;TARMA;JUNIN/TARMA/TARMA;JUNIN / TARMA / TARMA;JIRON ABANCAY 268;;;
2683;HUMANITAS;4;T;LIMA;LIMA;LA MOLINA;LIMA/LIMA/LA MOLINA;LIMA / LIMA / LA MOLINA;CALLE COLON MZ A LOTE 17;;;
2684;INMACULADO CORAZON;4;T;ANCASH;SANTA;NUEVO CHIMBOTE;ANCASH/SANTA/NUEVO CHIMBOTE;ANCASH / SANTA / NUEVO CHIMBOTE;CALLE HUARAZ Y HUANDOY MZ B LOTE 1-8 ZONA 1;;;
2685;DANIEL COMBONI;4;T;LIMA;LIMA;SAN MARTIN DE PORRES;LIMA/LIMA/SAN MARTIN DE PORRES;LIMA / LIMA / SAN MARTIN DE PORRES;MZ E LOTE 5-6;;;
