number;name;remote_id;source;image;;;;
323;SAN IGNACIO DE LOYOLA;4;T;PIURA;;;;
324;SAN IGNACIO DE LOYOLA;4;T;LIMA;;;;
325;SAN LORENZO;4;T;LIMA;;;;
326;SAN JORGE (ST. GEORGE'S COLLEGE - SAN JORGE SUR);4;R;LIMA;;;;
327;SAN JORGE;4;T;LIMA;;;;
328;SAN JORGE;4;T;LIMA;;;;
329;SAN JOSE DE MONTERRICO;4;S;LIMA;;;;
330;SAN JOSE;4;T;AREQUIPA;;;;
331;SAN JOSE;4;T;CALLAO;;;;
332;SAN JOSE;4;T;LIMA;;;;
333;SAN JOSE;4;T;LIMA;;;;
334;SAN JOSE DE ANCHIETA;4;T;LIMA;;;;
335;SAN JOSE DE ARTESANOS;4;T;LIMA;;;;
336;SAN JOSE HNOS. MARISTAS;4;T;LIMA;;;;
337;SAN JOSE HNOS. MARISTAS;4;T;CALLAO;;;;
338;SAN JOSE DE CLUNY;4;T;LIMA;;;;
339;SAN JOSE DE CLUNY;4;T;LIMA;;;;
340;SAN JOSE DE CALAZAES;4;T;LIMA;;;;
341;SAN JOSE OBRERO;4;T;LIMA;;;;
342;SAN JOSE OBRERO;4;T;LA LIBERTAD;;;;
343;SAN JUAN / SAN JUAN DE BARRANCO;4;T;LIMA;;;;
344;SAN JUAN;4;T;LIMA;;;;
345;SAN JUAN BAUTISTA;4;T;PUNO;;;;
346;SAN JUAN BOSCO;4;T;AYACUCHO;;;;
348;SANTO TORIBIO DE MOGROVEJO;4;T;LIMA;;;;
349;SAN LUIS GONZAGA;4;T;HUANUCO;;;;
350;SAN LUIS HNOS. MARISTAS;4;T;LIMA;;;;
351;SAN MARCELO;4;T;LIMA;;;;
352;SAN MARCOS DE MONTERRICO;4;T;LIMA;;;;
353;SAN MARCOS;4;T;LIMA;;;;
355;SAN MIGUEL;4;T;LIMA;;;;
356;SAN NORBERTO;4;T;LIMA;;;;
357;NUESTRA SRA. DE LA MERCED;4;T;LIMA;;;;
358;SAN SILVESTRE;1;P;LIMA;;;;
359;SAN VALENTIN;4;T;LIMA;;;;
360;SAN VICENTE;4;T;LIMA;;;;
361;SAN VICENTE DE PAUL;4;T;LIMA;;;;
362;SAN VICENTE;4;T;ICA;;;;
363;SAN SEBASTIAN;4;T;TACNA;;;;
364;SAN SEBASTIAN;4;T;LIMA;;;;
365;SANTA ANA;4;T;LIMA;;;;
366;SANTA ANA;4;T;LIMA;;;;
367;SANTA ANA;4;T;TACNA;;;;
368;SANTA ANGELA;4;T;LIMA;;;;
369;SANTA ANGELA;4;T;LAMBAYEQUE;;;;
370;SANTA ANITA;4;T;LIMA;;;;
371;SANTA BEATRIZ;4;T;LIMA;;;;
372;SANTA CLARA;4;T;AREQUIPA;;;;
375;SANTA ISABEL DE HUNGRIA;4;T;LIMA;;;;
376;SANTA LEONOR;4;T;CALLAO;;;;
377;SANTA MAGDALENA;4;T;LIMA;;;;
378;SANTA MARGARITA;2;R;LIMA;;;;
379;SANTA MARGARITA;4;T;CALLAO;;;;
381;SAN PABLO;4;T;CALLAO;;;;
382;SANTA MARIA DE FATIMA;4;T;LIMA;;;;
383;SANTA MATILDE;4;T;LIMA;;;;
384;SANTA MARIA;4;T;LIMA;;;;
385;SANTA MARIA DE CHOSICA;4;T;LIMA;;;;
386;SANTA MARIA;4;T;LIMA;;;;
387;SANTA MARIA;4;T;PUNO;;;;
388;SANTA MARIA REYNA;4;T;LAMBAYEQUE;;;;
389;SANTA MARIA;4;T;PIURA;;;;
390;SANTA MARIA;2;R;LIMA;;;;
391;SANTA MARTHA;4;T;CALLAO;;;;
392;SANTA MARIA;4;T;TUMBES;;;;
393;SANTA MARIA DE CERVELLO;4;T;ANCASH;;;;
